plant_code,lat,lon,State
2,33.458665,-87.356823,AL
4,32.583889,-86.283056,AL
11,33.7845,-86.0524,AL
12,33.2553,-87.4495,AL
13,32.6189,-86.2548,AL
14,33.425878,-86.337547,AL
15,32.9633,-86.5187,AL
16,32.680394,-85.911442,AL
17,32.806025,-86.444892,AL
18,33.9406,-87.1077,AL
19,32.535436,-85.887614,AL
20,34.172142,-85.753806,AL
21,32.5743,-85.8901,AL
34,39.134259,-120.953341,CA
38,32.100881,-87.399767,AL
48,34.421272,-86.393931,AL
49,34.8069,-87.3819,AL
53,31.4033,-86.479469,AL
55,31.361146,-86.518307,AL
62,58.3176,-134.101,AK
63,58.3107,-134.4174,AK
65,58.3269,-134.4631,AK
66,59.4545,-135.3131,AK
70,55.615208,-131.356111,AK
71,57.6861,-152.895,AK
72,34.01135,-118.4168,CA
77,61.475211,-149.15009,AK
78,58.1415,-133.737,AK
84,55.344641,-131.633425,AK
88,41.949,-74.2063,NY
91,56.81104,-132.957091,AK
100,33.466477,-111.781064,AZ
104,37.147926,-119.2567,CA
141,33.5561,-112.2153,AZ
145,33.5907,-111.344,AZ
148,33.5536,-111.4431,AZ
149,33.671104,-111.161786,AZ
150,33.5661,-111.536,AZ
152,35.197044,-114.570669,AZ
153,36.936614,-111.483872,AZ
154,36.01551,-114.738006,NV
159,40.493631,-111.312506,UT
161,37.611461,-120.594678,CA
162,37.621536,-120.746247,CA
166,34.4425,-93.0262,AR
174,34.4272,-92.8941,AR
180,40.45193,-121.86215,CA
182,36.421507,-93.847373,AR
187,34.211913,-93.110963,AR
188,35.5207,-91.9953,AR
195,34.148427,-93.715168,AR
196,36.2491,-92.2401,AR
197,34.570984,-93.194425,AR
198,36.3635,-92.5763,AR
199,35.2503,-93.1686,AR
214,39.215979,-120.80355,CA
215,38.071944,-120.539444,CA
217,36.909137,-119.087712,CA
218,36.908907,-119.087556,CA
219,40.007445,-121.249438,CA
220,39.91062,-121.327692,CA
221,40.175656,-121.190663,CA
222,40.085476,-121.148241,CA
223,40.085997,-121.149373,CA
225,38.771764,-120.813239,CA
227,40.404645,-122.121904,CA
229,40.570817,-122.02093,CA
231,39.825907,-121.409687,CA
232,39.869265,-121.631819,CA
233,39.29807,-120.8443,CA
235,39.256873,-120.767437,CA
236,39.257388,-120.767046,CA
237,39.216985,-120.835587,CA
238,38.793574,-120.619152,CA
239,38.330985,-120.669901,CA
240,36.927424,-119.02025,CA
241,38.956985,-121.041932,CA
243,40.929297,-121.544462,CA
244,40.960675,-121.548657,CA
249,40.992295,-121.975182,CA
253,40.677827,-121.873253,CA
254,36.888166,-119.158777,CA
258,37.52301,-120.329905,CA
261,38.147093,-120.446396,CA
262,39.2364,-121.271741,CA
264,38.032103,-120.326537,CA
265,40.99084,-121.498243,CA
266,40.997448,-121.748139,CA
267,40.986361,-121.84944,CA
268,40.986197,-121.977594,CA
269,40.922568,-121.992906,CA
270,40.847462,-121.990798,CA
272,39.722892,-121.469814,CA
274,39.361786,-123.127934,CA
275,39.90521,-121.345226,CA
276,37.203233,-119.497508,CA
279,38.497914,-120.21811,CA
280,40.395396,-121.879186,CA
281,39.324613,-120.644807,CA
282,39.324592,-120.645375,CA
283,39.337679,-120.635467,CA
284,38.18653,-120.11168,CA
285,38.139048,-120.370325,CA
286,38.777,-122.745,CA
287,38.449291,-120.492645,CA
290,40.459111,-121.86708,CA
291,38.420898,-120.549572,CA
292,38.889862,-121.098525,CA
293,37.15105,-119.504724,CA
294,41.978914,-122.335317,CA
295,41.975716,-122.358127,CA
296,41.985605,-122.360455,CA
297,41.932981,-122.43678,CA
299,38.4889,-112.8533,UT
314,32.673097,-115.392026,CA
316,34.0969,-118.4795,CA
317,37.2042,-119.2396,CA
318,37.2,-119.3069,CA
319,37.148517,-119.386623,CA
320,37.139,-119.4898,CA
321,37.2096,-119.3289,CA
322,37.200062,-119.30681,CA
323,37.273581,-118.573339,CA
324,37.301962,-118.531957,CA
325,37.323035,-118.501714,CA
326,37.3344,-118.4797,CA
327,37.3499,-118.4628,CA
332,34.155162,-117.397119,CA
336,36.461326,-118.87988,CA
338,36.486059,-118.835645,CA
339,35.776185,-118.436233,CA
340,35.460303,-118.77959,CA
342,38.042729,-119.172015,CA
344,37.220302,-119.337983,CA
353,37.944237,-119.2161,CA
354,37.257045,-119.158936,CA
357,37.766954,-119.123284,CA
361,34.14522,-117.058481,CA
363,34.107245,-117.099091,CA
376,38.2569,-120.8507,CA
380,37.896649,-119.9675,CA
381,37.809388,-120.299254,CA
382,37.877667,-119.953233,CA
385,32.705435,-115.030975,CA
386,32.705428,-115.126103,CA
387,32.705341,-115.219067,CA
388,32.736642,-114.713858,CA
390,61.0828,-146.3033,AK
391,37.142795,-118.324075,CA
392,34.587237,-118.656638,CA
393,37.437921,-118.556988,CA
394,36.443421,-118.04389,CA
396,34.318248,-118.494449,CA
397,34.103931,-118.413377,CA
398,36.109722,-117.956667,CA
401,37.51,-118.569167,CA
402,37.41416,-118.523889,CA
403,34.312778,-118.492778,CA
407,37.546036,-118.590001,CA
409,37.584345,-120.26859,CA
410,37.522065,-120.31009,CA
412,39.177903,-120.890856,CA
413,39.2184,-120.8352,CA
414,38.202569,-120.076983,CA
415,38.246656,-120.034072,CA
416,37.876111,-120.605,CA
417,39.551012,-121.278784,CA
418,39.531784,-121.491247,CA
419,39.553811,-121.204077,CA
424,39.077971,-120.406069,CA
425,39.024801,-120.596383,CA
426,39.003372,-120.746651,CA
427,39.000999,-120.725053,CA
428,37.477838,-120.444492,CA
430,38.82881,-120.537089,CA
431,38.83405,-120.53176,CA
432,38.982697,-120.324503,CA
433,38.896511,-120.378292,CA
435,38.765336,-120.787366,CA
436,34.2056,-117.3344,CA
437,39.542985,-121.492188,CA
439,37.695994,-120.420152,CA
440,37.6697,-120.4436,CA
441,38.70675,-121.158443,CA
442,40.646934,-122.626973,CA
443,40.611858,-122.446441,CA
444,38.63735,-121.220198,CA
445,40.717455,-122.422274,CA
446,37.098671,-121.047718,CA
447,34.295334,-114.140222,CA
448,37.0692,-121.0772,CA
450,40.628115,-122.467509,CA
451,40.797296,-122.762553,CA
454,39.330833,-121.191666,CA
455,39.238996,-121.270409,CA
457,33.166246,-117.016566,CA
467,39.6551,-105.7088,CO
472,39.6919,-105.6978,CO
474,38.53419,-106.182003,CO
476,39.57013,-107.226876,CO
479,33.8343,-117.4971,CA
480,33.85895,-117.6106,CA
481,33.8361,-117.1831,CA
482,34.004722,-118.09917,CA
483,33.92493,-117.95517,CA
484,33.3944,-117.1889,CA
487,33.9001,-117.82905,CA
489,37.6508,-120.4706,CA
494,38.855556,-104.933056,CO
